,chainTokenMcapUSD,chainTokenMcapRatio (%),ecosystemValueUSD,ecosystemValueRatio (%),bridgedFromEthUSD,bridgedFromEthRatio (%),combinedUSD,combinedRatio (%)
ethereum,"$152,631,791,516 ",23.76904459,"$167,051,653,043 ",74.94307817,noCalc,,"$319,683,444,559 ",36.87819505
arbitrum,none,,"$2,278,547,766 ",1.022207085,"$2,205,708,526 ",22.03490289,"$2,278,547,766 ",0.262849798
optimism,"$197,680,944 ",0.030784459,"$957,617,027 ",0.429608246,"$1,159,163,178 ",11.57997431,"$2,314,461,149 ",0.266992711
zkSync,none,,none,,"$50,955,363 ",0.509041177,"$50,955,363 ",0.005878133
dYdX,"$152,483,180 ",0.023745902,none,,"$417,083,526 ",4.166640738,"$569,566,706 ",0.065704347
loopring,"$371,442,719 ",0.057844034,noCalc,,"$139,025,436 ",1.38885621,"$371,442,719 ",0.042849066
immutableX,"$178,213,665 ",0.027752859,noCalc,,"$61,403,920 ",0.613421677,"$178,213,665 ",0.020558457
deversiFi,"$10,786,801 ",0.001679807,noCalc,,"$22,106,262 ",0.220840298,"$32,893,063 ",0.003794494
sorare,none,,none,,"$19,317,832 ",0.192984046,"$19,317,832 ",0.002228476
aztec,none,,none,,"$2,956,147 ",0.029531741,"$2,956,147 ",0.000341017
OMG,"$235,899,869 ",0.036736216,noCalc,,"$3,029,897 ",0.0302685,"$235,899,869 ",0.027213049
starknet,none,,none,,"$1,086,396 ",0.01085303,"$1,086,396 ",0.000125325
polygonHermez,none,,none,,"$298,342 ",0.002980418,"$298,342 ",3.44E-05
metisAndromeda,"$101,511,011 ",0.015808107,noCalc,,"$113,345,420 ",1.132314313,"$214,856,431 ",0.024785511
bobaNetwork,"$96,023,022 ",0.014953474,noCalc,,"$27,540,111 ",0.275124146,"$96,023,022 ",0.01107707
ZKSpace,none,,none,,"$26,163,674 ",0.261373621,"$26,163,674 ",0.003018202
polygon,"$5,349,333,780 ",0.833041085,"$4,635,254,727 ",2.07947812,"$3,642,139,513 ",36.38476687,"$9,984,588,507 ",1.151806916
ronin,none,,none,,"$603,341 ",0.006027347,"$603,341 ",6.96E-05
gnosisChain,"$310,828,858 ",0.048404758,noCalc,,"$220,286,188 ",2.200646503,"$310,828,858 ",0.035856743
avalanche,"$4,951,779,800 ",0.771130796,,0,"$881,258,444 ",8.803721806,"$4,951,779,800 ",0.571229772
solana,"$10,994,310,433 ",1.712122044,"$24,498,257,242 ",10.99046178,"$318,705,173 ",3.183846578,"$35,492,567,675 ",4.094368525
near,"$2,915,853,515 ",0.454080055,noCalc,,"$265,954,240 ",2.656867756,"$2,915,853,515 ",0.336368418
fantom,"$569,602,119 ",0.088703002,noCalc,,"$376,088,389 ",3.757101644,"$569,602,119 ",0.065708433
moonriver,"$57,582,642 ",0.00896723,noCalc,,"$55,847,602 ",0.557914375,"$57,582,642 ",0.006642646
bitcoin,"$358,862,443,723 ",55.88493289,"$978,605,662 ",0.439024214,noCalc,,"$359,841,049,385 ",41.51071515
BNB,"$43,352,958,441 ",6.751269785,"$22,504,777,167 ",10.09614238,noCalc,,"$65,857,735,608 ",7.597248029
dogecoin,"$7,630,682,406 ",1.188310958,none,,noCalc,,"$7,630,682,406 ",0.880263895
xrp,"$20,182,162,827 ",3.14292798,none,,noCalc,,"$20,182,162,827 ",2.328183551
zcash,"$699,968,145 ",0.109004644,none,,noCalc,,"$699,968,145 ",0.080747259
algorand,"$2,434,333,671 ",0.379093929,noCalc,,noCalc,,"$2,434,333,671 ",0.280821023
tezos,"$1,290,637,030 ",0.200988332,noCalc,,noCalc,,"$1,290,637,030 ",0.148885921
tron,"$5,468,651,079 ",0.85162213,noCalc,,noCalc,,"$5,468,651,079 ",0.630855256
cardano,"$14,974,283,836 ",2.331915367,noCalc,,noCalc,,"$14,974,283,836 ",1.727410566
polkadot,"$7,180,418,201 ",1.118192211,noCalc,,noCalc,,"$7,180,418,201 ",0.828322102
harmony,"$230,492,295 ",0.035894106,noCalc,,noCalc,,"$230,492,295 ",0.02658924
celo,"$344,997,766 ",0.053725814,noCalc,,noCalc,,"$344,997,766 ",0.039798417
kusama,"$368,099,716 ",0.057323435,noCalc,,noCalc,,"$368,099,716 ",0.042463422
