,chainTokenMcapUSD,chainTokenMcapRatio (%),ecosystemValueUSD,ecosystemValueRatio (%),bridgedFromEthUSD,bridgedFromEthRatio (%)
ethereum,"$182,361,499,585 ",24.73202674,"$241,306,811,401 ",78.69235492,noCalc,
arbitrum,none,,"$1,889,996,763 ",0.616345205,"$1,864,052,408 ",18.53063913
optimism,"$185,729,636 ",0.025188816,"$602,121,939 ",0.196357463,"$645,141,534 ",6.413384577
zkSync,none,,none,,"$58,963,787 ",0.586161985
dYdX,"$227,704,031 ",0.030881421,none,,"$613,853,748 ",6.102351116
loopring,"$473,641,578 ",0.064235687,noCalc,,"$182,184,631 ",1.811106614
immutableX,"$206,013,357 ",0.027939712,noCalc,,"$63,182,674 ",0.628102154
deversiFi,"$13,966,017 ",0.001894083,noCalc,,"$27,564,728 ",0.274022355
sorare,none,,none,,"$19,054,809 ",0.189424818
aztec,none,,none,,"$4,977,921 ",0.04948576
OMG,"$271,958,018 ",0.036883185,noCalc,,"$3,029,158 ",0.030113014
starknet,none,,none,,"$627,476 ",0.00623777
polygonHermez,none,,none,,"$300,481 ",0.0029871
metisAndromeda,"$129,089,966 ",0.017507295,noCalc,,"$92,302,600 ",0.917584805
bobaNetwork,"$74,408,596 ",0.010091359,noCalc,,"$43,718,462 ",0.434607441
ZKSpace,none,,none,,"$36,024,730 ",0.358123658
polygon,"$6,831,110,620 ",0.926441222,"$5,232,983,456 ",1.706523695,"$3,407,042,240 ",33.86957899
ronin,none,,none,,"$558,829 ",0.005555349
gnosisChain,"$380,484,394 ",0.051601628,noCalc,,"$201,421,888 ",2.002345164
avalanche,"$6,293,111,995 ",0.853477376,"$4,809,197,028 ",1.568323071,"$1,295,484,469 ",12.87847654
solana,"$13,308,585,900 ",1.804922109,"$27,363,026,306 ",8.92333277,"$403,554,263 ",4.011753308
near,"$3,038,093,015 ",0.412028843,noCalc,,"$408,001,990 ",4.055968393
fantom,"$822,151,152 ",0.111500861,noCalc,,"$612,217,897 ",6.086089035
moonriver,"$64,584,797 ",0.008759047,noCalc,,"$76,038,335 ",0.755900925
bitcoin,"$419,145,876,968 ",56.84493197,"$983,169,162 ",0.320620442,noCalc,
BNB,"$41,703,712,234 ",5.655894082,"$24,458,506,808 ",7.976142436,noCalc,
dogecoin,"$8,575,498,816 ",1.163016681,none,,noCalc,
xrp,"$16,795,312,081 ",2.277794976,none,,noCalc,
zcash,"$720,339,977 ",0.09769314,none,,noCalc,
algorand,"$2,262,459,364 ",0.306836726,noCalc,,noCalc,
tezos,"$1,422,483,831 ",0.192918507,noCalc,,noCalc,
tron,"$6,065,589,055 ",0.822620515,noCalc,,noCalc,
cardano,"$16,720,216,132 ",2.267610397,noCalc,,noCalc,
polkadot,"$8,018,472,819 ",1.087472326,noCalc,,noCalc,
harmony,"$271,402,242 ",0.03680781,noCalc,,noCalc,
celo,"$406,627,346 ",0.055147158,noCalc,,noCalc,
kusama,"$559,473,731 ",0.075876319,noCalc,,noCalc,
