,chainTokenMcapUSD,chainTokenMcapRatio (%),ecosystemValueUSD,ecosystemValueRatio (%),bridgedFromEthUSD,bridgedFromEthRatio (%)
ethereum,1.82361E+11,24.73202674,2.41307E+11,78.69235492,noCalc,
arbitrum,none,,1889996763,0.616345205,1864052408,18.53063913
optimism,185729636,0.025188816,602121939,0.196357463,645141534.3,6.413384577
zkSync,none,,none,,58963786.99,0.586161985
dYdX,227704031,0.030881421,none,,613853748.3,6.102351116
loopring,473641578,0.064235687,noCalc,,182184630.5,1.811106614
immutableX,206013357,0.027939712,noCalc,,63182674.05,0.628102154
deversiFi,13966017,0.001894083,noCalc,,27564728.18,0.274022355
sorare,none,,none,,19054808.91,0.189424818
aztec,none,,none,,4977920.62,0.04948576
OMG,271958018,0.036883185,noCalc,,3029158.176,0.030113014
starknet,none,,none,,627475.927,0.00623777
polygonHermez,none,,none,,300481.3441,0.0029871
metisAndromeda,129089966,0.017507295,noCalc,,92302599.67,0.917584805
bobaNetwork,74408596,0.010091359,noCalc,,43718462.2,0.434607441
ZKSpace,none,,none,,36024729.79,0.358123658
polygon,6831110620,0.926441222,5232983456,1.706523695,3407042240,33.86957899
ronin,none,,none,,558829.1625,0.005555349
gnosisChain,380484394,0.051601628,noCalc,,201421888.2,2.002345164
avalanche,6293111995,0.853477376,4809197028,1.568323071,1295484469,12.87847654
solana,13308585900,1.804922109,27363026306,8.92333277,403554262.8,4.011753308
near,3038093015,0.412028843,noCalc,,408001990.4,4.055968393
fantom,822151152,0.111500861,noCalc,,612217897,6.086089035
moonriver,64584797,0.008759047,noCalc,,76038334.62,0.755900925
bitcoin,4.19146E+11,56.84493197,983169161.7,0.320620442,noCalc,
BNB,41703712234,5.655894082,24458506808,7.976142436,noCalc,
dogecoin,8575498816,1.163016681,none,,noCalc,
xrp,16795312081,2.277794976,none,,noCalc,
zcash,720339977,0.09769314,none,,noCalc,
algorand,2262459364,0.306836726,noCalc,,noCalc,
tezos,1422483831,0.192918507,noCalc,,noCalc,
tron,6065589055,0.822620515,noCalc,,noCalc,
cardano,16720216132,2.267610397,noCalc,,noCalc,
polkadot,8018472819,1.087472326,noCalc,,noCalc,
harmony,271402242,0.03680781,noCalc,,noCalc,
celo,406627346,0.055147158,noCalc,,noCalc,
kusama,559473731,0.075876319,noCalc,,noCalc,
