,chainTokenMcapUSD,chainTokenMcapRatio (%),ecosystemValueUSD,ecosystemValueRatio (%),bridgedFromEthUSD,bridgedFromEthRatio (%),combinedUSD,combinedRatio (%)
ethereum,"$157,373,296,425",23.913197465764053,"$168,477,406,223",73.91772280004051,noCalc,,"$325,850,702,648",36.70147662839726
arbitrum,none,,"$2,304,246,568",1.0109643951363048,"$2,205,708,526",28.007567616797424,"$2,304,246,568",0.25953374006645147
optimism,"$196,149,739",0.02980535801256779,"$961,330,757",0.42177394588461026,"$1,159,467,399",14.722644089377063,"$2,316,947,895",0.26096432612174264
zkSync,none,,none,,"$50,967,761",0.6471766343314154,"$50,967,761",0.005740641599828571
dYdX,"$155,773,476",0.023670101447558576,none,,"$417,084,605",5.296042124016605,"$572,858,081",0.06452260893038646
loopring,"$368,811,124",0.0560416121167387,noCalc,,"$139,030,130",1.7653718575749549,"$368,811,124",0.04154022912266384
immutableX,"$172,663,427",0.02623656439028891,noCalc,,"$61,380,418",0.779394096470608,"$172,663,427",0.019447565032459112
deversiFi,"$10,811,457",0.0016428232235500561,noCalc,,"$22,121,098",0.280888495755229,"$32,932,555",0.0037092858485934066
sorare,none,,none,,"$19,317,957",0.24529487653210222,"$19,317,957",0.0021758356185088935
aztec,none,,none,,"$2,956,147",0.03753645959584717,"$2,956,147",0.0003329591181684364
OMG,"$238,984,641",0.0363142098522496,noCalc,,"$3,029,899",0.03847294329078753,"$238,984,641",0.02691750898472781
starknet,none,,none,,"$1,085,139",0.013778844251810318,"$1,085,139",0.00012222228417009686
polygonHermez,none,,none,,"$298,833",0.0037945120699324642,"$298,833",3.365840588823084e-05
metisAndromeda,"$103,496,113",0.015726448154357073,noCalc,,"$113,449,944",1.440560684680439,"$216,946,057",0.024435241612554736
bobaNetwork,"$99,155,247",0.015066844599062091,noCalc,,"$27,563,644",0.34999665890877724,"$99,155,247",0.011168132984769532
ZKSpace,none,,none,,"$26,222,951",0.3329728585434442,"$26,222,951",0.0029535643624449422
polygon,"$5,534,013,864",0.8409048378240955,"$4,389,636,642",1.9259077627701557,"$2,165,591,056",27.498165436225147,"$9,923,650,506",1.1177285307491944
ronin,none,,none,,"$14,715",0.00018684572581952494,"$14,715",1.657374956835121e-06
gnosisChain,"$312,397,461",0.04746943949449856,noCalc,,"$211,709,514",2.688237571701445,"$312,397,461",0.03518620036872435
avalanche,"$5,144,008,398",0.7816427016609251,"$3,379,402,181",1.4826778215850092,"$593,652,540",7.538060198413913,"$8,523,410,579",0.9600155887873838
solana,"$11,542,918,554",1.753970317604559,"$24,497,534,033",10.748040170475969,"$54,792,240",0.6957389604036884,"$36,040,452,587",4.059337044643166
near,"$2,884,715,952",0.4383385476435701,noCalc,,"$253,660,876",3.2209260949708893,"$2,884,715,952",0.32491363140088836
fantom,"$573,600,169",0.08715973052156033,noCalc,,"$302,738,969",3.844108159018901,"$573,600,169",0.06460619242346578
moonriver,"$57,366,052",0.008716890098067276,noCalc,,"$43,557,587",0.5530839813437578,"$57,366,052",0.006461298992550582
bitcoin,"$361,988,086,719",55.00483750806434,"$979,638,188",0.42980614217933355,noCalc,,"$362,967,724,907",40.882070728328
BNB,"$44,927,221,627",6.826784128949126,"$22,936,395,972",10.06310696192811,noCalc,,"$67,863,617,599",7.64366918649477
dogecoin,"$8,180,349,536",1.2430210095177483,none,,noCalc,,"$8,180,349,536",0.921375663356935
xrp,"$24,599,826,278",3.7379944169222834,none,,noCalc,,"$24,599,826,278",2.7707472835495244
zcash,"$722,121,064",0.10972778730506687,none,,noCalc,,"$722,121,064",0.08133451650677921
algorand,"$2,672,109,085",0.4060324950371713,noCalc,,noCalc,,"$2,672,109,085",0.30096712492774924
tezos,"$1,319,960,347",0.20057070126781162,noCalc,,noCalc,,"$1,319,960,347",0.14867082818036384
tron,"$5,505,748,479",0.836609854187701,noCalc,,noCalc,,"$5,505,748,479",0.6201278606483083
cardano,"$15,162,667,092",2.3039985849914393,noCalc,,noCalc,,"$15,162,667,092",1.7078136317611587
polkadot,"$7,302,013,373",1.109556015238046,noCalc,,noCalc,,"$7,302,013,373",0.8224462030358265
harmony,"$229,317,241",0.03484522845304061,noCalc,,noCalc,,"$229,317,241",0.0258286426656619
celo,"$359,666,217",0.054652024608153556,noCalc,,noCalc,,"$359,666,217",0.040510212652538465
kusama,"$365,025,331",0.05546635305036557,noCalc,,noCalc,,"$365,025,331",0.04111382466141723
